country,year,crime_index,weighted_infractions
Suède,2009,0.37158836652949423,3455220.0
Suède,2010,0.3605054997128424,3380866.0
Suède,2011,0.3675594993995796,3473148.0
Suède,2012,0.35666631020064976,3395240.0
Suède,2013,0.3510340581345799,3370060.0
Suède,2014,0.3425480940294613,3321384.0
Suède,2015,0.3413283511507997,3344740.0
Suède,2016,0.3865608326442835,3835876.0
Suède,2017,0.393129720140732,3953980.0
Suède,2018,0.38125841874185645,3879386.0
Suède,2019,0.37718373594339544,3877029.0
Suède,2020,0.3817266760175022,3952185.0
Suède,2021,0.3611204158754417,3761362.0
Suède,2022,0.3487694838752311,3657525.0
Tchéquie,2008,0.11137074763474347,1156541.0
Tchéquie,2009,0.12547348049624202,1310437.0
Tchéquie,2010,0.11835568781439719,1239706.0
Tchéquie,2011,0.11574979173192908,1214920.0
Tchéquie,2012,0.1087032985642842,1142557.0
Tchéquie,2013,0.12270255135115393,1290128.0
Tchéquie,2014,0.1003755980681682,1056488.0
Tchéquie,2015,0.07856773795784758,828580.0
Tchéquie,2016,0.06305707600329045,666282.0
Tchéquie,2017,0.057930680230513405,613743.0
Tchéquie,2018,0.052761693211844894,560853.0
Tchéquie,2019,0.0530819809461697,566484.0
Tchéquie,2020,0.04435467361784013,474500.0
Tchéquie,2021,0.0422936077424867,444327.0
Tchéquie,2022,0.0481969933240993,514364.0
Turquie,2009,0.023798665965307834,1714437.0
Turquie,2010,0.02600158732003366,1901812.0
Turquie,2011,0.02625477932371105,1948725.0
Turquie,2012,0.029595071830736227,2224834.0
Turquie,2016,0.0075042796887235825,594924.0
Turquie,2017,0.004713214839327151,378531.0
Turquie,2018,0.029126930830347644,2371142.0
Turquie,2019,0.024792745022247667,2047371.0
Turquie,2020,0.023092503323152408,1925561.0
Turquie,2021,0.023594109083785654,1985381.0
Turquie,2022,0.02409962457834006,2047984.0
